[crop] groups=462 unmapped=0
  [A] Mathematics_analysis_and_approaches_paper_1__HL_marksch: 29 recs
  [A] Mathematics_analysis_and_approaches_paper_2__HL_marksch: 34 recs
  [A] Mathematics_analysis_and_approaches_paper_3__HL_marksch: 12 recs
  [A] Mathematics_analysis_and_approaches_paper_1__TZ1_HL_mar: 35 recs
  [A] Mathematics_analysis_and_approaches_paper_1__TZ2_HL_mar: 31 recs
  [A] Mathematics_analysis_and_approaches_paper_2__TZ1_HL_mar: 33 recs
  [A] Mathematics_analysis_and_approaches_paper_2__TZ2_HL_mar: 33 recs
  [A] Mathematics_analysis_and_approaches_paper_3__TZ1_HL_mar: 12 recs
  [A] Mathematics_analysis_and_approaches_paper_3__TZ2_HL_mar: 11 recs
  [A] Mathematics_paper_1__TZ1_HL_markscheme.pdf: 30 recs
  [A] Mathematics_paper_1__TZ2_HL_markscheme.pdf: 25 recs
  [A] Mathematics_paper_2__TZ1_HL_markscheme.pdf: 33 recs
  [A] Mathematics_paper_2__TZ2_HL_markscheme.pdf: 29 recs
  [A] Mathematics_paper_3_Calculus__HL_markscheme.pdf: 13 recs
  [A] Mathematics_paper_3_Discrete_mathematics__HL_markscheme: 13 recs
  [A] Mathematics_paper_3_Sets_relations_and_groups__HL_marks: 11 recs
  [A] Mathematics_paper_3_Statistics_and_probability__HL_mark: 14 recs
  [A] Mathematics_paper_1__HL_markscheme.pdf: 32 recs
  [A] Mathematics_paper_2__HL_markscheme.pdf: 33 recs
  [A] Mathematics_paper_3_Calculus__HL_markscheme.pdf: 11 recs
  [A] Mathematics_paper_3_Discrete_mathematics__HL_markscheme: 16 recs
  [A] Mathematics_paper_3_Sets_relations_and_groups__HL_marks: 13 recs
  [A] Mathematics_paper_3_Statistics_and_probability__HL_mark: 12 recs
  [A] Mathematics_paper_1__TZ1_HL_markscheme.pdf: 28 recs
  [A] Mathematics_paper_1__TZ2_HL_markscheme.pdf: 22 recs
  [A] Mathematics_paper_2__TZ1_HL_markscheme.pdf: 30 recs
  [A] Mathematics_paper_2__TZ2_HL_markscheme.pdf: 31 recs
  [A] Mathematics_paper_3_Calculus__HL_markscheme.pdf: 10 recs
  [A] Mathematics_paper_3_Discrete_mathematics__HL_markscheme: 10 recs
  [A] Mathematics_paper_3_Sets_relations_and_groups__HL_marks: 10 recs
  [A] Mathematics_paper_3_Statistics_and_probability__HL_mark: 15 recs
  [A] Mathematics_paper_1__HL_markscheme.pdf: 22 recs
  [A] Mathematics_paper_2__HL_markscheme.pdf: 25 recs
  [A] Mathematics_paper_3_Calculus__HL_markscheme.pdf: 12 recs
  [A] Mathematics_paper_3_Discrete_mathematics__HL_markscheme: 13 recs
  [A] Mathematics_paper_3_Sets_relations_and_groups__HL_marks: 13 recs
  [A] Mathematics_paper_3_Statistics_and_probability__HL_mark: 11 recs
  [A] Mathematics_paper_1__TZ1_HL_markscheme.pdf: 23 recs
  [A] Mathematics_paper_1__TZ2_HL_markscheme.pdf: 26 recs
  [A] Mathematics_paper_2__TZ1_HL_markscheme.pdf: 22 recs
